,Length
1,0.33440416088318803
2,0.16647958768179688
3,0.22953098826950966
4,0.15858787650872344
5,0.34377858154786745
6,0.19710989032371065
7,0.19545536477401465
8,0.21287882159963453
9,0.3629693193071321
10,0.2102099688469501
11,0.3646146124814585
12,0.13542929282813201
13,0.16063111030060995
14,0.28746231908962955
15,0.09042943309746003
16,0.20398941728223843
17,0.2106987498363905
18,0.17147071381023413
19,0.2975567192564965
20,0.20094589184522396
21,0.1539119290746872
22,0.11976122631627084
23,0.2496678711585892
24,0.560078299119836
25,0.11606582587448507
26,0.5245166279083444
27,0.12878644156625504
28,0.10221694538462411
29,0.13912721411477683
30,0.11858420102884487
31,0.13414232076547475
32,0.3055427202758186
